command_id,operation_id,step_id,command_kind,duration_ms,status,exit_code,retry_index,error_type
cmd-000001,m1-s04-01-create_cluster,create_cluster,management_operation,10.0,PASS,0,0,
cmd-000002,m1-s04-02-meet_nodes,meet_nodes,management_operation,10.0,PASS,0,0,
cmd-000003,m1-s04-03-add_replica,add_replica,management_operation,10.0,PASS,0,0,
cmd-000004,m1-s04-04-remove_replica,remove_replica,management_operation,10.0,PASS,0,0,
cmd-000005,m1-s04-05-remove_primary_drained_or_safe_replaced,remove_primary_drained_or_safe_replaced,management_operation,10.0,PASS,0,0,
cmd-000006,m1-s04-06-remove_failed_node,remove_failed_node,management_operation,10.0,PASS,0,0,
cmd-000007,m1-s04-07-reshard_slot_range,reshard_slot_range,management_operation,10.0,PASS,0,0,
cmd-000008,m1-s04-08-reshard_with_keys,reshard_with_keys,management_operation,10.0,PASS,0,0,
cmd-000009,m1-s04-09-rebalance_after_imbalance,rebalance_after_imbalance,management_operation,10.0,PASS,0,0,
cmd-000010,m1-s04-10-rolling_restart_replica_first,rolling_restart_replica_first,management_operation,10.0,PASS,0,0,
