coverage_id,source_stage,source_artifact,row_name,field,status,reason,method
50.management.add_replica,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,add_replica,$.bytes_migrated,MISSING,Valkey command path did not expose migrated byte counts for this operation.,copied_from_source_missing_encoding
50.management.add_replica,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,add_replica,$.missing_fields[0],MISSING,add_replica timing is captured in runtime_timing_breakdown and cluster setup operations before matrix row emission.,copied_from_source_missing_encoding
50.management.add_replica,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/management_operation_results.jsonl,add_replica,command_ms,MISSING,add_replica timing is captured in runtime_timing_breakdown and cluster setup operations before matrix row emission.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[0],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[10],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[11],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[12],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[13],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[14],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
50.management.cleanup_verify,P30_MANAGEMENT_MATRIX_50_REAL,artifacts/phases/P30_MANAGEMENT_MATRIX_50_REAL/cleanup_report.json,cleanup_verify,$.cleanup_actions[15],SKIPPED_WITH_REASON,Valkey process was already stopped before cleanup termination.,copied_from_source_missing_encoding
